,shares_outstanding
ABBV,1768762377.0
AAPL,14697926000.0
A,282839638.0
AAP,60329208.0
AAL,660304573.0
ABNB,599513958.0
ABX,97752855.0
ABT,1737682887.0
ACGL,356272841.0
ADBE,407636919.0
ACN,615435159.0
ADCT,127044356.0
ADM,481895100.0
ADI,488204157.0
ADP,404448744.0
ACV,10376587.0
ADSK,212000000.0
AEE,276653219.0
AEP,543563480.0
AFL,524113918.0
ADT,820121837.0
AES,713071623.0
AIG,536559663.0
AIT,37717910.0
AIV,144075540.0
AIZ,49786997.0
AL,112035408.0
AJG,257100000.0
AKAM,147223048.0
ALB,117886887.0
ALGN,71617275.0
ALLE,86145484.0
ALK,114641450.0
ALL,259535842.0
AM,476275000.0
AMAT,793609867.0
AMCR,462045690.0
AMD,1630410844.0
AMG,28128909.0
AMGN,539067675.0
AME,229065429.0
AMH,415172766.0
AMP,92905713.0
AMT,466370068.0
AMTM,243935176.0
ABS,
ABI,
AMZN,10754251799.0
ANF,45857557.0
ANET,1259285071.0
AN,34710538.0
AON,214935266.0
APA,353400414.0
AOS,138289918.0
APC,82570224.0
APD,222656008.0
APH,1229430709.0
APO,580422574.0
AET,
APTV,251146084.0
APP,337955000.0
AR,308525000.0
ARE,173300362.0
ARES,330919384.0
AS,581822024.0
ASC,40802614.0
ASH,45762391.0
ASND,61393156.0
ATI,136936300.0
ATGE,36328547.0
ASO,66681300.0
AVB,140083474.0
AVGO,4741273799.0
ATO,165438946.0
AVY,76917031.0
AWK,195280114.0
AZO,16519000.0
BA,785844140.0
AXON,80397675.0
AXP,686614005.0
BAC,7176682170.0
BALL,266153058.0
BBBY,73818888.0
BBT,84028225.0
BBWI,204721605.0
BBY,209535104.0
BC,65112927.0
BDX,362295120.0
BEAM,101856245.0
BCO,41163012.0
BG,193509080.0
ANV,
BIIB,146758528.0
BEN,521390673.0
BK,697349125.0
BKR,991757347.0
BKNG,791833651.0
ANDV,
BIO,27002387.0
BLDR,110605069.0
BNL,199884366.0
BMY,2041735455.0
BLK,155541536.0
BR,116748715.0
BSX,1486175167.0
BRO,340420023.0
BUD,1941927102.0
BX,1222261991.0
C,1749319010.0
BXP,177056981.0
CAH,235316016.0
CAG,478437156.0
CARR,835843882.0
CBOE,104742273.0
CB,391101227.0
CAR,35324685.0
CBRE,295158555.0
CCB,15208963.0
CCI,436367346.0
CCEP,448640467.0
BFI,
CCK,113225669.0
CCL,1385139577.0
CDNS,276092068.0
CCU,185139328.0
CDW,130193661.0
BOAT,
CE,111922758.0
CEG,362294672.0
CF,153668821.0
CFG,424993893.0
CG,361171067.0
CHA,185752490.0
CHD,236875094.0
BLY,
CHRS,149889902.0
CHRW,118620834.0
CHTR,126631550.0
CI,267125817.0
CIEN,141463456.0
CA,
CINF,155686200.0
CL,802301915.0
CCE,
CLF,570396523.0
CLX,121980379.0
CAM,
CMCSA,3643894506.0
CMG,1322278000.0
CME,362808081.0
CMI,138257420.0
CMS,307996655.0
CNP,654163245.0
CNC,491772493.0
CNX,142368170.0
COF,621931593.0
COIN,269657615.0
COP,1222339153.0
COO,195114398.0
COR,194530682.0
COST,443869411.0
CHIR,
CPAY,69958057.0
COTY,880006359.0
CPB,298146488.0
CPRI,119161865.0
CPRT,968017684.0
CPT,104726511.0
CR,57743867.0
CMB,
CRH,668201113.0
CRL,49341960.0
CRWD,253614090.0
CRM,937000000.0
CMX,
CSCO,3951094563.0
CNXT,
CSR,17705899.0
CSGP,423822791.0
CTRA,759352619.0
CMVT,
CSX,1859992927.0
CTAS,400087119.0
CTVA,672524000.0
CTSH,482646474.0
COL,
CPQ,
CVNA,220445669.0
CVS,1281604403.0
CVX,1991898801.0
CZR,204107943.0
D,878964717.0
DAL,656994112.0
DASH,434426352.0
DD,418975324.0
DDOG,353851329.0
DDS,15617071.0
DE,270107282.0
DECK,145744833.0
DELL,662689606.0
