date,ticker,action,shares,price,held_days
1996-01-02,AN,BUY,651.6213226612311,15.346336364746094,0
1996-01-02,TWX,BUY,2715.8240517028485,3.6821236610412598,0
1996-01-02,CSCO,BUY,3662.0937468213297,2.7306783199310303,0
1996-01-02,BSX,BUY,837.696335078534,11.9375,0
1996-01-02,MU,BUY,494.8219001501488,20.209291458129883,0
1996-01-02,AMAT,BUY,2672.5345170983296,3.7417664527893066,0
1996-01-02,MDT,BUY,1276.3904419953021,7.834593296051025,0
1996-01-02,INTC,BUY,2419.433065357568,4.133199691772461,0
1996-01-02,C,BUY,195.57295944806503,51.131813049316406,0
1996-01-02,NKE,BUY,3097.5963095043967,3.2283096313476562,0
1997-01-02,TWX,SELL,2715.8240517028485,3.005308151245117,366
1997-01-02,CSCO,SELL,3662.0937468213297,4.4960103034973145,366
1997-01-02,BSX,SELL,837.696335078534,14.84375,366
1997-01-02,MU,SELL,494.8219001501488,14.507394790649414,366
1997-01-02,AMAT,SELL,2672.5345170983296,3.18784761428833,366
1997-01-02,MDT,SELL,1276.3904419953021,10.20767879486084,366
1997-01-02,C,SELL,195.57295944806503,74.69428253173828,366
1997-01-02,TJX,BUY,11257.18526708632,1.0202579498291016,0
1997-01-02,TLAB,BUY,619.7514038837453,18.531999588012695,0
1997-01-02,HP,BUY,2496.588956005204,4.600369930267334,0
1997-01-02,MD,BUY,1241.6467850209574,9.25,0
1997-01-02,MSFT,BUY,1846.9620950904937,6.218445301055908,0
1997-01-02,IBM,BUY,621.6927329985682,18.474130630493164,0
1997-01-02,JCI,BUY,877.3898764283741,13.090227127075195,0
1997-02-03,SNT,BUY,1.726820226822898e-12,3.160125255584717,0
1997-02-03,CSCO,BUY,1.1181483475958635e-12,4.880361557006836,0
1997-05-01,NKE,SELL,3097.5963095043967,5.235302448272705,485
1997-05-01,AMD,BUY,124.26707695715605,21.75,0
1997-05-01,USB,BUY,481.0341238830287,5.618746757507324,0
1997-05-01,COST,BUY,290.6670243400415,9.298643112182617,0
1997-05-01,CPB,BUY,130.94212286802852,20.64124870300293,0
1997-05-01,TXN,BUY,401.15367506170094,6.7375898361206055,0
1997-05-01,TGT,BUY,425.0095556425641,6.359407424926758,0
1997-06-02,AN,SELL,651.6213226612311,22.34246063232422,517
1997-06-02,C,BUY,39.29250756249267,92.63104248046875,0
1997-06-02,GLW,BUY,350.2843380048931,10.390718460083008,0
1997-06-02,BK,BUY,310.3128020067244,11.729151725769043,0
1997-06-02,ALL,BUY,199.2474031220727,18.267269134521484,0
1997-07-01,PCAR,BUY,8.08606216974214e-14,2.2495367527008057,0
1997-07-01,WEN,BUY,5.3368024121533186e-14,3.408388137817383,0
1997-07-01,TKR,BUY,1.4706354843138787e-14,12.368730545043945,0
1997-07-01,BMY,BUY,1.3010520175017833e-14,13.980912208557129,0
1997-07-01,AMAT,BUY,2.7482399894708482e-14,6.618742942810059,0
1997-08-01,AXP,BUY,3.0311477474899937e-30,16.656099319458008,0
1997-11-03,INTC,SELL,2419.433065357568,11.111507415771484,671
1997-11-03,KLAC,BUY,310.6308503412188,12.363572120666504,0
1997-11-03,TWX,BUY,524.7499541710201,7.318737030029297,0
1997-11-03,NC,BUY,978.4552823384882,3.9250714778900146,0
1997-11-03,SCHW,BUY,666.6986824832288,5.760483741760254,0
1997-11-03,STT,BUY,225.38530571923755,17.03973960876465,0
1997-11-03,CMI,BUY,483.28729378818906,7.946633338928223,0
1997-11-03,UIS,BUY,28.187206760349518,136.25,0
1998-02-02,TJX,SELL,11257.18526708632,1.5867924690246582,396
1998-02-02,TLAB,SELL,619.7514038837453,26.0,396
1998-02-02,HP,SELL,2496.588956005204,4.428220272064209,396
1998-02-02,MD,SELL,1241.6467850209574,9.5,396
1998-02-02,MSFT,SELL,1846.9620950904937,11.798860549926758,396
1998-02-02,IBM,SELL,621.6927329985682,24.454313278198242,396
1998-02-02,JCI,SELL,877.3898764283741,22.47310447692871,396
1998-02-02,CINF,BUY,1116.7717353432392,16.028745651245117,0
1998-02-02,FITB,BUY,1131.5928145534112,15.818808555603027,0
1998-02-02,CCU,BUY,5568.271608557874,3.2147228717803955,0
1998-02-02,NTRS,BUY,928.4575708438068,19.27977180480957,0
1998-03-02,SNT,SELL,1.726820226822898e-12,1.3423538208007812,392
1998-03-02,CSCO,SELL,1.1181483475958635e-12,6.99876070022583,392
1998-03-02,KBH,BUY,1140.7384485323605,9.191071510314941,0
1998-03-02,MTG,BUY,177.7052314411296,59.0,0
1998-03-02,HD,BUY,846.9473247446807,12.379292488098145,0
