date,ticker,action,shares,price,held_days
1996-01-02,AIG,BUY,39.00959346951215,256.3471984863281,0
1996-01-02,C,BUY,195.57295944806503,51.131813049316406,0
1996-01-02,BAC,BUY,1255.0807035602927,7.967615127563477,0
1996-01-02,KO,BUY,1155.077113021033,8.657430648803711,0
1996-01-02,NEM,BUY,329.6443506857363,30.335723876953125,0
1996-01-02,XOM,BUY,1266.4549458848662,7.896056652069092,0
1996-01-02,VZ,BUY,1343.7391133463989,7.441920757293701,0
1996-01-02,GE,BUY,336.51345721993215,29.716493606567383,0
1996-01-02,PCG,BUY,751.3510620224188,13.309357643127441,0
1996-01-02,FNMA,BUY,421.15389651378126,23.74428939819336,0
1997-01-02,NEM,SELL,329.6443506857363,28.21189308166504,366
1997-01-02,VZ,SELL,1343.7391133463989,7.699697971343994,366
1997-01-02,PCG,SELL,751.3510620224188,10.739827156066895,366
1997-01-02,FNMA,SELL,421.15389651378126,29.04711151123047,366
1997-01-02,INTC,BUY,1083.85545569938,9.214550018310547,0
1997-01-02,MSFT,BUY,1606.0670835948092,6.218445301055908,0
1997-01-02,JPM,BUY,773.0349128192315,12.919520378112793,0
1997-01-02,MRK,BUY,710.0234277805895,14.066071510314941,0
1998-02-02,JPM,SELL,773.0349128192315,16.716739654541016,396
1998-02-02,MRK,SELL,710.0234277805895,21.129131317138672,396
1998-02-02,FNMA,BUY,271.22021088083073,51.479942321777344,0
1998-02-02,PFE,BUY,1432.7854173975545,9.744935035705566,0
1998-03-02,XOM,SELL,1266.4549458848662,13.367630958557129,790
1998-03-02,MRK,BUY,743.9802972860284,22.75531005859375,0
1998-04-01,INTC,SELL,1083.85545569938,10.97412109375,454
1998-04-01,XOM,BUY,819.6055344710403,14.512299537658691,0
1999-02-01,KO,SELL,1155.077113021033,15.19383430480957,1126
1999-02-01,INTC,BUY,299.28730268805316,19.546491622924805,0
1999-02-01,CSCO,BUY,316.1749405720009,18.50246810913086,0
1999-02-01,WMT,BUY,654.9605737000768,8.93186092376709,0
1999-03-01,FNMA,SELL,271.22021088083073,56.20530700683594,392
1999-03-01,JPM,BUY,612.8945671713527,24.87216567993164,0
1999-05-03,MRK,SELL,743.9802972860284,25.84828758239746,427
1999-06-01,KO,BUY,1168.864442576925,16.452392578125,0
1999-07-01,XOM,SELL,819.6055344710403,16.98077964782715,456
1999-08-02,XOM,BUY,825.5251794120037,16.8590145111084,0
2000-01-03,PFE,SELL,1432.7854173975545,11.458939552307129,700
2000-01-03,ORCL,BUY,697.7792329681062,23.529220581054688,0
2000-03-01,JPM,SELL,612.8945671713527,25.793081283569336,366
2000-04-03,JPM,BUY,543.3224324061586,29.095870971679688,0
2000-06-01,KO,SELL,1168.864442576925,12.820322036743164,366
2000-06-01,PFE,BUY,922.1627506417401,16.250080108642578,0
2000-07-03,BAC,SELL,1255.0807035602927,11.7122163772583,1644
2000-07-03,MU,BUY,167.0055620523802,88.01968383789062,0
2000-09-01,WMT,SELL,654.9605737000768,10.371957778930664,578
2000-09-01,XOM,SELL,825.5251794120037,18.357271194458008,396
2000-09-01,VIAV,BUY,19.476984196912177,563.42431640625,0
2000-09-01,BAC,BUY,795.2106680145564,13.799873352050781,0
2001-02-01,ORCL,SELL,697.7792329681062,23.952491760253906,395
2001-02-01,WMT,BUY,703.5119742018262,11.878654479980469,0
2001-02-01,MRK,BUY,262.7439590676489,31.805776596069336,0
2001-03-01,CSCO,SELL,316.1749405720009,15.767322540283203,759
2001-03-01,FNMA,BUY,36.62531667444425,68.05718994140625,0
2001-03-01,XOM,BUY,136.23638272747164,18.2962589263916,0
2001-05-01,JPM,SELL,543.3224324061586,23.800228118896484,393
2001-08-01,MU,SELL,167.0055620523802,42.62005615234375,394
2001-09-04,VIAV,SELL,19.476984196912177,30.307167053222656,368
2001-10-01,INTC,SELL,299.28730268805316,11.402210235595703,973
2001-10-01,JNJ,BUY,723.1458116058178,28.67703628540039,0
2001-11-01,INTC,BUY,224.21149817696818,14.78128719329834,0
2002-03-01,MRK,SELL,262.7439590676489,24.17732810974121,393
2002-04-01,FNMA,SELL,36.62531667444425,67.64668273925781,396
2002-05-01,XOM,SELL,136.23638272747164,18.70807456970215,426
2002-05-01,FNMA,BUY,168.8668607149307,67.3829574584961,0
2002-06-03,PFE,SELL,922.1627506417401,12.330339431762695,732
2002-06-03,XOM,BUY,629.1913580151056,18.071735382080078,0
2002-12-02,INTC,SELL,224.21149817696818,12.046894073486328,396
2002-12-02,PFE,BUY,232.10520935522428,11.637188911437988,0
2003-08-01,FNMA,SELL,168.8668607149307,54.60256576538086,457
2003-08-01,INTC,BUY,642.4433834431429,14.352336883544922,0
2003-09-02,JNJ,SELL,723.1458116058178,26.6531982421875,701
2003-09-02,FNMA,BUY,325.61613057624413,59.19285583496094,0
2004-08-02,PFE,SELL,232.10520935522428,12.310395240783691,609
2004-08-02,JNJ,BUY,95.16610367915585,30.024417877197266,0
2004-09-01,INTC,SELL,642.4433834431429,12.36505126953125,397
2004-09-01,PG,BUY,255.55466537113543,31.084720611572266,0
2005-03-01,FNMA,SELL,325.61613057624413,54.16013717651367,546
2005-03-01,INTC,BUY,1234.8483215843187,14.281441688537598,0
2006-04-03,PG,SELL,255.55466537113543,32.967220306396484,579
2006-04-03,INTC,SELL,1234.8483215843187,11.38755989074707,398
2006-04-03,GOOGL,BUY,1162.4337246369894,9.672308921813965,0
2006-04-03,RIG,BUY,149.87732709412134,75.01747131347656,0
2007-04-02,JNJ,SELL,95.16610367915585,34.456878662109375,973
2007-04-02,PG,BUY,89.46613708007662,36.652156829833984,0
2007-08-01,WMT,SELL,703.5119742018262,10.503315925598145,2372
2007-08-01,SLB,BUY,118.65431518753778,62.27509307861328,0
2008-05-01,PG,SELL,89.46613708007662,40.043548583984375,395
2008-05-01,WMT,BUY,267.634523422697,13.385947227478027,0
2008-07-01,GE,SELL,336.51345721993215,86.5635757446289,4564
2008-07-01,CVX,BUY,379.5174582210159,49.01262664794922,0
