date,ticker,action,shares,price,held_days
1996-01-02,AIG,BUY,39.00959346951215,256.3471984863281,0
1996-01-02,C,BUY,195.57295944806503,51.131813049316406,0
1996-01-02,BAC,BUY,1255.0807035602927,7.967615127563477,0
1996-01-02,KO,BUY,1155.077113021033,8.657430648803711,0
1996-01-02,NEM,BUY,329.6443506857363,30.335723876953125,0
1996-01-02,XOM,BUY,1266.4549458848662,7.896056652069092,0
1996-01-02,VZ,BUY,1343.7391133463989,7.441920757293701,0
1996-01-02,AN,BUY,651.6213226612311,15.346336364746094,0
1996-01-02,TWX,BUY,2715.8240517028485,3.6821236610412598,0
1996-01-02,CSCO,BUY,3662.0937468213297,2.7306783199310303,0
1997-01-02,NEM,SELL,329.6443506857363,28.21189308166504,366
1997-01-02,XOM,SELL,1266.4549458848662,10.000545501708984,366
1997-01-02,VZ,SELL,1343.7391133463989,7.699697971343994,366
1997-01-02,TWX,SELL,2715.8240517028485,3.005308151245117,366
1997-01-02,CSCO,SELL,3662.0937468213297,4.4960103034973145,366
1997-01-02,INTC,BUY,1544.7910120034007,9.214550018310547,0
1997-01-02,MSFT,BUY,2289.0856731544845,6.218445301055908,0
1997-01-02,GE,BUY,353.00056261932576,40.3244514465332,0
1997-01-02,TJX,BUY,13951.916817042456,1.0202579498291016,0
1997-02-03,AN,SELL,651.6213226612311,37.350276947021484,398
1997-02-03,SNT,BUY,5300.362577060206,3.160125255584717,0
1997-03-03,AN,BUY,239.32035018769176,31.708240509033203,0
1998-02-02,INTC,SELL,1544.7910120034007,11.761777877807617,396
1998-02-02,TJX,SELL,13951.916817042456,1.5867924690246582,396
1998-02-02,FNMA,BUY,195.74752547609035,51.479942321777344,0
1998-02-02,TWX,BUY,1096.8004087228003,9.187698364257812,0
1998-02-02,WEN,BUY,2428.595543895109,4.149341106414795,0
1998-02-02,CINF,BUY,628.6874556747975,16.028745651245117,0
1998-03-02,SNT,SELL,5300.362577060206,1.3423538208007812,392
1998-03-02,INTC,BUY,286.712510555539,12.407833099365234,0
1998-03-02,UIS,BUY,19.76378321373956,180.0,0
1998-04-01,AN,SELL,239.32035018769176,24.373594284057617,394
1998-04-01,PFE,BUY,249.68298551842324,11.68100643157959,0
1998-04-01,NC,BUY,574.5760222607604,5.076001167297363,0
1998-10-01,KO,SELL,1155.077113021033,13.326626777648926,1003
1998-10-01,XOM,BUY,341.40860662827373,15.029187202453613,0
1998-10-01,COF,BUY,235.30964593499942,21.805709838867188,0
1998-10-01,LOW,BUY,963.3453168436739,5.326328754425049,0
1999-03-01,FNMA,SELL,195.74752547609035,56.20530700683594,392
1999-03-01,WEN,SELL,2428.595543895109,2.625093936920166,392
1999-03-01,CINF,SELL,628.6874556747975,13.498342514038086,392
1999-03-01,SCHW,BUY,739.6390014064722,17.48392105102539,0
1999-03-01,CSCO,BUY,808.3074512351288,15.998602867126465,0
1999-04-01,UIS,SELL,19.76378321373956,298.125,395
1999-04-01,AMGN,BUY,226.62978470519133,25.99869155883789,0
1999-05-03,NC,SELL,574.5760222607604,3.179417848587036,397
1999-06-01,PFE,SELL,249.68298551842324,12.68797492980957,426
1999-06-01,WMT,BUY,543.3556649411064,9.192484855651855,0
1999-11-01,XOM,SELL,341.40860662827373,16.264623641967773,396
1999-11-01,COF,SELL,235.30964593499942,36.17399978637695,396
1999-11-01,LOW,SELL,963.3453168436739,10.119123458862305,396
1999-11-01,QCOM,BUY,687.2331765653778,17.325403213500977,0
1999-11-01,CMVT,BUY,398.99842954082914,29.84119987487793,0
2000-01-03,BAC,SELL,1255.0807035602927,12.356371879577637,1462
2000-01-03,NTAP,BUY,497.0728531462241,31.19913673400879,0
2000-02-01,TWX,SELL,1096.8004087228003,81.84952545166016,729
2000-02-01,ORCL,BUY,1909.414834862403,21.512420654296875,0
2000-03-01,SCHW,SELL,739.6390014064722,22.400007247924805,366
2000-03-01,BAC,BUY,2777.044789197531,11.750688552856445,0
2000-03-01,ADI,BUY,661.3658227489692,49.34060287475586,0
2000-04-03,AMGN,SELL,226.62978470519133,40.16056823730469,368
2000-06-01,WMT,SELL,543.3556649411064,12.113985061645508,366
2000-06-01,AMD,BUY,373.42341289322695,42.0,0
2000-11-01,QCOM,SELL,687.2331765653778,18.926677703857422,366
2000-11-01,CMVT,SELL,398.99842954082914,63.833099365234375,366
2000-11-01,GLW,BUY,800.2496645353403,48.08042907714844,0
2001-01-02,INTC,SELL,286.712510555539,17.6682071685791,1037
2001-01-02,CSCO,SELL,808.3074512351288,21.438724517822266,673
2001-01-02,PFE,BUY,267.7637079032661,16.72726821899414,0
2001-01-02,WMT,BUY,389.8319599612139,11.48945140838623,0
2001-01-02,EOG,BUY,495.528147150995,9.038750648498535,0
2001-01-02,EHC,BUY,89.53786046295738,50.023033142089844,0
2001-01-02,CB,BUY,180.32014523847943,24.83890724182129,0
2001-02-01,NTAP,SELL,497.0728531462241,34.181400299072266,395
2001-02-01,ORCL,SELL,1909.414834862403,23.952491760253906,366
2001-02-01,INTC,BUY,1458.2277729227712,21.50757598876953,0
2001-02-01,CSCO,BUY,1274.0705378464368,24.6163330078125,0
2001-04-02,ADI,SELL,661.3658227489692,20.029531478881836,397
2001-04-02,MO,BUY,5356.679435496271,2.47295880317688,0
2001-07-02,AMD,SELL,373.42341289322695,29.739999771118164,396
2001-07-02,PPL,BUY,618.977418605723,8.970934867858887,0
2001-07-02,DLX,BUY,508.9021855456133,10.91134262084961,0
2001-12-03,GLW,SELL,800.2496645353403,5.881180286407471,397
2001-12-03,AZO,BUY,35.50937671400841,66.2699966430664,0
2001-12-03,HRB,BUY,258.9595092404616,9.087159156799316,0
2002-02-01,PFE,SELL,267.7637079032661,15.443641662597656,395
2002-02-01,EOG,SELL,495.528147150995,5.643652439117432,395
2002-02-01,EHC,SELL,89.53786046295738,37.26414489746094,395
2002-02-01,CB,SELL,180.32014523847943,23.938364028930664,395
2002-02-01,NVDA,BUY,14884.269542840999,0.48994532227516174,0
