date,ticker,action,shares,price,held_days
1996-01-02,AIG,BUY,39.00959346951215,256.3471984863281,0
1996-01-02,C,BUY,195.57295944806503,51.131813049316406,0
1996-01-02,BAC,BUY,1255.0807035602927,7.967615127563477,0
1996-01-02,KO,BUY,1155.077113021033,8.657430648803711,0
1996-01-02,NEM,BUY,329.6443506857363,30.335723876953125,0
1996-01-02,AN,BUY,651.6213226612311,15.346336364746094,0
1996-01-02,TWX,BUY,2715.8240517028485,3.6821236610412598,0
1996-01-02,CSCO,BUY,3662.0937468213297,2.7306783199310303,0
1996-01-02,D,BUY,1838.455724963113,5.439347743988037,0
1996-01-02,XEL,BUY,1476.4848633252184,6.772842884063721,0
1997-01-02,NEM,SELL,329.6443506857363,28.21189308166504,366
1997-01-02,TWX,SELL,2715.8240517028485,3.005308151245117,366
1997-01-02,CSCO,SELL,3662.0937468213297,4.4960103034973145,366
1997-01-02,D,SELL,1838.455724963113,5.2353644371032715,366
1997-01-02,INTC,BUY,1513.7498124188753,9.214550018310547,0
1997-01-02,TJX,BUY,13671.56547427872,1.0202579498291016,0
1997-01-02,AEP,BUY,1244.5614012934402,11.207581520080566,0
1997-02-03,AN,SELL,651.6213226612311,37.350276947021484,398
1997-02-03,SNT,BUY,4120.761196240977,3.160125255584717,0
1997-02-03,KMG,BUY,3424.154717657564,3.8030178546905518,0
1997-09-02,KO,SELL,1155.077113021033,14.030261039733887,609
1997-09-02,MSFT,BUY,387.6531768225849,10.451374053955078,0
1997-09-02,AMAT,BUY,455.9798842735416,8.885278701782227,0
1997-09-02,AMD,BUY,208.43772883224815,19.4375,0
1997-09-02,TXN,BUY,456.8127180656184,8.86907958984375,0
1997-11-03,XEL,SELL,1476.4848633252184,7.759738922119141,671
1997-11-03,GE,BUY,50.99305820419154,56.170082092285156,0
1997-11-03,KLAC,BUY,231.67125467552205,12.363572120666504,0
1997-11-03,TWX,BUY,391.36318926527247,7.318737030029297,0
1997-11-03,NEE,BUY,1093.7336737206738,2.6188132762908936,0
1998-02-02,INTC,SELL,1513.7498124188753,11.761777877807617,396
1998-02-02,TJX,SELL,13671.56547427872,1.5867924690246582,396
1998-02-02,WEN,BUY,3173.0601058196266,4.149341106414795,0
1998-02-02,CINF,BUY,821.4060548886125,16.028745651245117,0
1998-02-02,FE,BUY,1620.3876639432895,8.125283241271973,0
1998-03-02,SNT,SELL,4120.761196240977,1.3423538208007812,392
1998-03-02,KMG,SELL,3424.154717657564,4.012698173522949,392
1998-03-02,KO,BUY,601.9403001473578,16.007915496826172,0
1998-03-02,UIS,BUY,53.53227477162825,180.0,0
1998-10-01,AMAT,SELL,455.9798842735416,4.295682907104492,394
1998-10-01,AMD,SELL,208.43772883224815,8.8125,394
1998-10-01,TXN,SELL,456.8127180656184,7.511376857757568,394
1998-10-01,COF,BUY,165.71106862381282,21.805709838867188,0
1998-10-01,LOW,BUY,678.4124011304152,5.326328754425049,0
1998-12-01,AEP,SELL,1244.5614012934402,14.221832275390625,698
1998-12-01,GE,SELL,50.99305820419154,77.41395568847656,393
1998-12-01,KLAC,SELL,231.67125467552205,9.358875274658203,393
1998-12-01,NEE,SELL,1093.7336737206738,3.2981340885162354,393
1998-12-01,INTC,BUY,420.50709619029334,16.303518295288086,0
1998-12-01,AAPL,BUY,26819.81816069781,0.25562235713005066,0
1998-12-01,D,BUY,939.2907026338995,7.298853397369385,0
1998-12-01,GIS,BUY,848.4761065024505,8.080068588256836,0
1999-03-01,WEN,SELL,3173.0601058196266,2.625093936920166,392
1999-03-01,CINF,SELL,821.4060548886125,13.498342514038086,392
1999-03-01,FE,SELL,1620.3876639432895,8.75241470336914,392
1999-03-01,GE,BUY,97.62057887830207,86.0461654663086,0
1999-03-01,SCHW,BUY,480.43436358268025,17.48392105102539,0
1999-03-01,CSCO,BUY,525.0381269441389,15.998602867126465,0
1999-03-01,AEE,BUY,773.9222141364457,10.853644371032715,0
1999-04-01,KO,SELL,601.9403001473578,14.503691673278809,395
1999-04-01,UIS,SELL,53.53227477162825,298.125,395
1999-04-01,AMGN,BUY,925.2744814927785,25.99869155883789,0
1999-07-01,BBY,BUY,38.10407583605117,16.631818771362305,0
1999-10-01,BAC,SELL,1255.0807035602927,13.9898042678833,1368
1999-10-01,QCOM,BUY,610.812574044923,14.372930526733398,0
1999-10-01,ADBE,BUY,625.1589356606763,14.043095588684082,0
1999-11-01,COF,SELL,165.71106862381282,36.17399978637695,396
1999-11-01,LOW,SELL,678.4124011304152,10.119123458862305,396
1999-11-01,BAC,BUY,261.23592721152124,16.408374786376953,0
1999-11-01,CMVT,BUY,143.64224693799665,29.84119987487793,0
1999-11-01,PEG,BUY,639.3261339097313,6.704648494720459,0
2000-01-03,INTC,SELL,420.50709619029334,24.710655212402344,398
2000-01-03,AAPL,SELL,26819.81816069781,0.8384960293769836,398
2000-01-03,D,SELL,939.2907026338995,6.390371322631836,398
2000-01-03,GIS,SELL,848.4761065024505,7.522319793701172,398
2000-01-03,NTAP,BUY,1034.8622947775896,31.19913673400879,0
2000-02-01,TWX,SELL,391.36318926527247,81.84952545166016,820
2000-02-01,INTC,BUY,781.1216425736886,28.81134033203125,0
2000-02-01,ORCL,BUY,1046.147332583451,21.512420654296875,0
2000-03-01,GE,SELL,97.62057887830207,113.3659896850586,366
2000-03-01,SCHW,SELL,480.43436358268025,22.400007247924805,366
2000-03-01,ADI,BUY,221.20308116197933,49.34060287475586,0
2000-03-01,D,BUY,1774.2377646295233,6.151539325714111,0
2000-04-03,AMGN,SELL,925.2744814927785,40.16056823730469,368
2000-06-01,AMD,BUY,822.2654212729225,42.0,0
2000-07-03,BBY,SELL,38.10407583605117,15.513967514038086,368
2000-08-01,VIAV,BUY,3.02295781900705,531.8543701171875,0
2000-08-01,BBT,BUY,247.34321037580742,6.500171661376953,0
2000-09-01,MSFT,SELL,387.6531768225849,21.388416290283203,1095
2000-09-01,GE,BUY,54.443936692809295,152.29037475585938,0
